"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","IE","Ireland",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","IT","Italy",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","LV","Latvia",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","PL","Poland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","RO","Romania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2016","UK","United Kingdom",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","AT","Austria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","BE","Belgium",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","DE","Germany",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","EL","Greece",60.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","ES","Spain",2.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","FR","France",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","HR","Croatia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","IT","Italy",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","PL","Poland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","RO","Romania",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","SE","Sweden",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","SI","Slovenia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","SK","Slovakia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2017","UK","United Kingdom",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","AT","Austria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","BE","Belgium",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","BG","Bulgaria",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","CY","Cyprus",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","CZ","Czechia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","DE","Germany",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","DK","Denmark",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","EE","Estonia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","EL","Greece",57.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","ES","Spain",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","FI","Finland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","FR","France",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","HR","Croatia",3.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","HU","Hungary",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","IE","Ireland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","IS","Iceland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","IT","Italy",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","LT","Lithuania",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","LU","Luxembourg",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","LV","Latvia",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","MT","Malta",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","NL","Netherlands",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","NO","Norway",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","PL","Poland",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","PT","Portugal",0.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","RO","Romania",1.000000000,""
"Antimicrobial resistance","Acinetobacter spp.|Aminoglycosides","I - 'susceptible, increased exposure' isolates ","N","2018","SE","Sweden",0.000000000,""
