Year,ATCCode,ATC code name,tonnes per year
2019,J01D,Other beta-lactam antibacterials,6.883
2019,J01E,Sulfonamides and trimethoprim,2.079
2019,J01F,"Macrolides, lincosamides and streptogramins",7.471
2019,J01G,Aminoglycoside antibacterials,0.081
2019,J01M,Quinolone antibacterials,2.214
2019,J01R,Combinations of antibacterials,0.000
2019,J01X,Other antibacterials,4.973
2019,P01A,Agents against amoebiasis and other protozoal diseases,1.262
2020,A07A,Intestinal antiinfectives,0.547
2020,J01A,Tetracyclines,2.349
2020,J01B,Amphenicols,0.066
2020,J01C,"Beta-lactam antibacterials, penicillins",56.209
2020,J01D,Other beta-lactam antibacterials,5.548
2020,J01E,Sulfonamides and trimethoprim,2.132
2020,J01F,"Macrolides, lincosamides and streptogramins",5.826
2020,J01G,Aminoglycoside antibacterials,0.073
2020,J01M,Quinolone antibacterials,1.880
2020,J01R,Combinations of antibacterials,0.000
2020,J01X,Other antibacterials,4.816
2020,P01A,Agents against amoebiasis and other protozoal diseases,1.100
2021,A07A,Intestinal antiinfectives,0.585
2021,J01A,Tetracyclines,2.538
2021,J01B,Amphenicols,0.063
2021,J01C,"Beta-lactam antibacterials, penicillins",60.116
2021,J01D,Other beta-lactam antibacterials,5.769
2021,J01E,Sulfonamides and trimethoprim,2.296
2021,J01F,"Macrolides, lincosamides and streptogramins",5.761
2021,J01G,Aminoglycoside antibacterials,0.076
2021,J01M,Quinolone antibacterials,1.853
2021,J01R,Combinations of antibacterials,0.000
2021,J01X,Other antibacterials,4.991
2021,P01A,Agents against amoebiasis and other protozoal diseases,1.206
2022,A07A,Intestinal antiinfectives,0.626
2022,J01A,Tetracyclines,2.266
2022,J01B,Amphenicols,0.083
2022,J01C,"Beta-lactam antibacterials, penicillins",74.670
2022,J01D,Other beta-lactam antibacterials,6.195
2022,J01E,Sulfonamides and trimethoprim,2.434
2022,J01F,"Macrolides, lincosamides and streptogramins",6.932
2022,J01G,Aminoglycoside antibacterials,0.075
2022,J01M,Quinolone antibacterials,1.914
2022,J01R,Combinations of antibacterials,0.000
2022,J01X,Other antibacterials,5.067
2022,P01A,Agents against amoebiasis and other protozoal diseases,1.268
2023,A07A,Intestinal antiinfectives,0.691
2023,J01A,Tetracyclines,2.323
2023,J01B,Amphenicols,0.090
2023,J01C,"Beta-lactam antibacterials, penicillins",77.601
2023,J01D,Other beta-lactam antibacterials,5.989
2023,J01E,Sulfonamides and trimethoprim,2.714
2023,J01F,"Macrolides, lincosamides and streptogramins",7.411
2023,J01G,Aminoglycoside antibacterials,0.068
2023,J01M,Quinolone antibacterials,1.892
2023,J01R,Combinations of antibacterials,0.000
2023,J01X,Other antibacterials,5.123
