DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2007,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2008,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2009,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2010,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2011,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2012,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2013,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2014,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2015,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2016,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2017,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2018,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2019,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2020,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2021,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2022,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2023,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2024,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,Unknown,Total,Belgium,2025,0,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2005,55637,,
ESTAT:DEMO_PJAN(1.0),30/05/26 11:00:00,Annual,Number,1 year,Females,Belgium,2006,57077,,
